ул.Леваневского,6
ул.Симонок,3
ул.Переяславская,11
ул.Гвардейская,11
ул.Тельмана,11
ул.Михайловская,8
ул.Потемкинцев,5
ул.Буряка,4
ул.Вишневая,4
ул.Кряжева,6
ул.Весенняя,9
ул.Некрасова,11
ул.А.Оношко,8
ул.Александера,12
ул.40 Лет Октября,2
ул.Аксютина,15
ул.Профсоюзная,7
ул.Василия Жукова,31
ул.Невская,2
ул.Драпушко,20
ул.Ракетная,1
ул.Морских Пехотинцев,22
ул.Молодогвардейцев,3
ул.Волгоградская,5
ул.Лобанова,17
ул.Сергея Лозо,2
ул.Н.Ониловой,7
ул.Сапунская,5
ул.Коробкова,9
ул.Харченко,3
ул.Короленко,19
ул.К.Гармаша,2
ул.Ватутина,7
ул.Вакуленчука,25
ул.Отрадная,10
ул.Частника,26
ул.Кирпичная,11
ул.Советская,7
ул.Свердлова,3
ул.Луначарского,7
ул.Л.Павличенко,5
ул.Суворова,7
ул.Павла Ситникова,20
ул.Воронина,6
ул.Сергеева-Ценского,3
ул.Дроздова,3
ул.Марата,3
ул.Терещенко,7
ул.Володарского,6
ул.В.Кучера,6
ул.Фрунзе,3
ул.Алексакиса,3
ул.Бухта,1
ул.Урожайная,4
ул.Полевая,3
ул.И.Франко,4
ул.Коцюбинского,4
ул.Котляревского,4
ул.Матэ Залки,5
ул.В.Шукшина,4
ул.Блюхера,7
ул.Пролетарская,19
ул.М.Крылова,12
ул.Правды,16
ул.Менжинского,3
ул.Погорелова,4
ул.Шевкопляса,8
ул.Мудрика,7
ул.Раенко,9
ул.Толбухина,9
ул.Умрихина,9
ул.Четвертакова,8
ул.Малиновского,7
ул.Волочаевская,5
ул.Катерная,24
ул.Адмирала Владимирского,21
ул.Херсонская,14
ул.Г.Петровой,19
ул.6-я Бастионная,23
ул.Пожарова,17
ул.Ломоносова,16
ул.Батумская,21
ул.Гоголя,26
ул.Степаненко,9
ул.Ген.Жидилова,9
ул.Тульская,6
ул.Крайняя,5
ул.Грушевая,5
ул.Российская,5
ул.Красноперекопская,5
ул.Репина,18
ул.Мокроусова,3
ул.Сенявина,8
ул.Адмирала,3
ул.Загородная,10
ул.Шелковичная,1
ул.Кожанова,16
ул.Мира,12
ул.Солнечная,23
ул.Фильченкова,4
ул.Белозерская,3
ул.Полоцкая,4
ул.Курская,2
ул.Кронштадтская,6
ул.Благодатная,7
ул.Земляничная,3
ул.Мускатная,2
ул.Прохладная,4
ул.Комарская,3
ул.Строительная,8
ул.Энергетиков,1
ул.Сенная,1
ул.Лесная,7
ул.Торговая,2
ул.Абрикосовая,2
ул.Гранатная,5
ул.Мореходная,8
ул.Пирогова,14
ул.5-я Бастионная,17
ул.Шварца,6
ул.Каспийская,6
ул.Станюковича,7
ул.Артиллеристов,6
ул.Танкистов,7
ул.Донская,7
ул.Днепровская,7
ул.Драчука,5
ул.Вокзальная,6
ул.Народных,5
ул.Димитрова,10
ул.Добролюбова,3
ул.Камышовая,3
ул.Калича,7
ул.Кирова,5
ул.7го,3
ул.Чакряна,3
ул.Рубцова,5
ул.Крестовского,11
ул.Терлецкого,12
ул.Б.Хмельницкого,16
ул.Башенная,5
ул.Грошева,5
ул.Оздоровительная,13
ул.О.Кошевого,9
ул.Хрусталева,41
ул.Супруна,12
ул.Лоцманская,11
ул.Курганная,17
ул.Боцманская,10
ул.Я.Иванова,13
ул.М.Геловани,15
ул.Ген.Коломийца,15
ул.Индустриальная,7
ул.М.Бирюзова,15
ул.Килен-Балка,7
ул.Шатурская,1
ул.Каширская,1
ул.Школьная,3
ул.С.Перовской,13
ул.Качинское,7
ул.Ген.Мельника,8
ул.Ситникова,2
ул.Кизиловая,3
ул.Лазаревская,6
ул.9го Января,6
ул.Якутская,3
ул.Углицкая,3
ул.Хрущева,3
ул.1-я Бастионная,9
ул.Авиаторов,25
ул.Генерала Лебедева,1
ул.Соловьева,1
ул.2-я Бастионная,10
ул.Паршина,9
ул.Военных Строителей,3
ул.И.Федько,2
ул.Охотская,4
ул.Коммунистическая,11
ул.Ак.Крылова,7
ул.Пугачева,6
ул.Сибирская,1
ул.Краснодарская,11
ул.Черцова,4
ул.Ж.Дерюгиной,5
ул.Воронежская,3
ул.Декабристов,5
ул.Костомаровская,5
ул.Фурманова,5
ул.Л.Чайкиной,8
ул.З.Космодемьянской,5
ул.К.Потапова9ти,2
ул.Промышленная,5
ул.Куликово,6
ул.Шабалина,11
ул.Генерала Лебедя,16
ул.Ген.Хрюкина,15
ул.Дальняя,3
ул.Балканская,2
ул.Сухумская,4
ул.Феодосийская,4
ул.Судакская,3
ул.Джанкойская,3
ул.Крымская,1
ул.Фиолентовское,1
ул.Комбрига,1
ул.Камышовое,1
ул.Выгонная,6
ул.Урицкого,2
ул.Эскадренная,5
ул.Береговая,5
ул.Якорная,3
ул.Громова,13
ул.Загордянского,4
ул.Тоннельная,1
ул.Неглинная,1
ул.Клубная,1
ул.Арктическая,6
ул.Сапунгорская,2
ул.Краснознаменная,3
ул.Бакинская,10
ул.А.Шостака,6
ул.Дм.Ульянова,8
ул.Ерошенко,8
ул.Меньшикова,13
ул.Ген.Крейзера,9
ул.Глухова,9
ул.Муссонная,11
ул.Демидова,13
ул.Коралловая,10
ул.Тайфунная,1
ул.Готская9ти,1
ул.Гер.Бреста,4
ул.Нефтяная,1
ул.Веерная,1
ул.Дарданельская,1
ул.Тимма,1
ул.Связистов,1
ул.Абазы,1
ул.Драгунская,1
ул.Урусова,1
ул.Хомутовая,1
ул.Тендровская,1
ул.Студенческая,1
ул.Куйбышевская,1
ул.Мусы,1
ул.Новая,3
ул.Балаклавская,2
ул.Цыбулько,5
ул.Одинцова,7
ул.Оборонная,6
ул.Модлинская,2
ул.Бакуниной,3
ул.Астраханская,3
ул.Флюсовая,1
ул.Макаренко,6
ул.Кочубея,5
ул.Федюхина,3
ул.Портовая,6
ул.Котовского,6
ул.Чернышевского,2
ул.Седова,5
ул.Кудюрова,5
ул.Малышкина,2
ул.Бородинская,1
ул.Д.Севастопольской,4
ул.Орловская,3
ул.Егерская,2
ул.Брянская,6
ул.Революции,4
ул.Ленинградская,3
ул.Симферопольская,4
ул.Черноморская,4
ул.Мелитопольская,1
ул.Сафронова,6
ул.Дунайская,4
ул.Адмирала Азарова,4
ул.Маячная,3
ул.Сельская,1
ул.Античный,1
ул.Красносельского,3
ул.Щорса,5
ул.Бутакова,6
ул.Парусная,5
ул.Мачтовая,4
ул.Пьянзина,5
ул.Лётчиков,1
ул.Историческая,3
ул.Юбилейная,6
ул.Багрия,4
ул.Бирюлева,5
ул.Тарутинская,4
ул.Федоровская,6
ул.Ударная,8
ул.Нестерова,8
ул.Пограничная,5
ул.Челюскинцев,7
ул.Герцена,3
ул.Инженерная,4
ул.Севастопольская,2
ул.Пушкина,1
ул.Пехотная,1
ул.Продольная,1
ул.Дачная,1
ул.Привольная,1
ул.Морпортовская,1
ул.Приморской,1
ул.Слепнева,4
ул.Казарского,7
ул.Украинская,2
ул.Каманина,4
ул.Смоленская,3
ул.Калюжного,4
ул.Краснодонцев,5
ул.Сладкова,7
ул.Л.Украинки,5
ул.Уральская,4
ул.Крупской,4
ул.Пахомова,1
ул.К.Либкнехта,6
ул.Комсомольская,3
ул.И.Шевченко,2
ул.Подольцева,4
ул.Ревякина,5
ул.Курортная,1
ул.Снайперская,1
ул.Будищева,3
ул.Сейнерская,3
ул.Флагманская,9
ул.Белостокская,3
ул.Костромская,4
ул.Мазуренко,2
ул.Брестская,1
ул.Эстонская,1
ул.Ахтырская,1
ул.Владимирская,2
ул.Литовская,1
ул.Лагерная,2
ул.Чапаева,5
ул.Первомайская,5
ул.Древняя,3
ул.Элеваторная,1
ул.Делегатская,3
ул.Кондукторская,1
ул.Университетская,5
ул.Учительская,1
ул.Рыбацкий,2
ул.Ректорская,2
ул.Академическая,1
ул.Б.Казачья,2
ул.Лиговская,1
ул.Рубежная,1
ул.Бахчисарайская,3
ул.Алуштинская,3
ул.Братская,2
ул.Физкультурная,2
ул.Южногородская,3
ул.Никитская,1
ул.Наклонная,2
ул.Вечерняя,1
ул.Пологая,1
ул.Звездная,8
ул.Северная,5
ул.Менделеева,2
ул.И.Голубца,5
ул.Матюшенко,4
ул.Авдеева,5
ул.8го,1
ул.Гусева,1
ул.Батарейная,6
ул.Н.Краевой,4
ул.Запорожская,1
ул.Узловая,1
ул.Парижской,1
ул.Совхозная,1
ул.Колхозная,1
ул.19го,1
ул.Кавказская,2
ул.Малярная,1
ул.Зеленая,1
ул.Лодочная,2
ул.Тенистая,1
ул.Летняя,1
ул.Коломенская,1
ул.Скорятина,1
ул.Трубная,1
